,lat,long,type,local,result
0,21.51059890489913,46.96064161072687,simple,./extra/random/nature-simple(21.510598904899126_46.96064161072687).png,nature
1,21.51059890489913,46.96064161072687,satelite,./extra/random/nature-simple(21.510598904899126_46.96064161072687).png,nature
2,23.7448514409996,55.55344966644989,simple,./extra/random/roads-simple(23.744851440999597_55.55344966644989).png,roads
3,23.7448514409996,55.55344966644989,satelite,./extra/random/roads-simple(23.744851440999597_55.55344966644989).png,roads
4,-17.843427000182714,25.705921011855253,simple,./extra/random/roads-simple(-17.843427000182714_25.705921011855253).png,roads
5,-17.843427000182714,25.705921011855253,satelite,./extra/random/roads-simple(-17.843427000182714_25.705921011855253).png,roads
6,11.515606073319065,40.76952260599151,simple,./extra/random/nature-simple(11.515606073319063_40.76952260599151).png,nature
7,11.515606073319065,40.76952260599151,satelite,./extra/random/nature-simple(11.515606073319063_40.76952260599151).png,nature
8,-11.158105511719311,31.733020498015875,simple,./extra/random/nature-simple(-11.158105511719313_31.733020498015875).png,nature
9,-11.158105511719311,31.733020498015875,satelite,./extra/random/nature-simple(-11.158105511719313_31.733020498015875).png,nature
10,-20.605231038235274,34.81571360588866,simple,./extra/random/roads-simple(-20.605231038235274_34.81571360588866).png,roads
11,-20.605231038235274,34.81571360588866,satelite,./extra/random/roads-simple(-20.605231038235274_34.81571360588866).png,roads
12,46.72771287116575,77.78922992935676,simple,./extra/random/nature-simple(46.72771287116575_77.78922992935676).png,nature
13,46.72771287116575,77.78922992935676,satelite,./extra/random/nature-simple(46.72771287116575_77.78922992935676).png,nature
14,30.237122234728343,44.081873194323975,simple,./extra/random/nature-simple(30.237122234728346_44.081873194323975).png,nature
15,30.237122234728343,44.081873194323975,satelite,./extra/random/nature-simple(30.237122234728346_44.081873194323975).png,nature
16,23.18873065384344,47.98723671578219,simple,./extra/random/nature-simple(23.188730653843436_47.98723671578219).png,nature
17,23.18873065384344,47.98723671578219,satelite,./extra/random/nature-simple(23.188730653843436_47.98723671578219).png,nature
18,26.49335942651051,-82.44020887861879,simple,./extra/random/ocean-simple(26.49335942651051_-82.44020887861879).png,ocean
19,26.49335942651051,-82.44020887861879,satelite,./extra/random/ocean-simple(26.49335942651051_-82.44020887861879).png,ocean
20,13.600989511262952,41.82771833527372,simple,./extra/random/nature-simple(13.600989511262952_41.827718335273715).png,nature
21,13.600989511262952,41.82771833527372,satelite,./extra/random/nature-simple(13.600989511262952_41.827718335273715).png,nature
22,22.07928935150485,4.368117576357008,simple,./extra/random/nature-simple(22.079289351504855_4.368117576357008).png,nature
23,22.07928935150485,4.368117576357008,satelite,./extra/random/nature-simple(22.079289351504855_4.368117576357008).png,nature
24,-2.7619485995726194,30.336462207573405,simple,./extra/random/roads-simple(-2.7619485995726194_30.336462207573405).png,roads
25,-2.7619485995726194,30.336462207573405,satelite,./extra/random/roads-simple(-2.7619485995726194_30.336462207573405).png,roads
26,-5.395807071506837,-38.10507295720705,simple,./extra/random/farm-simple(-5.395807071506837_-38.10507295720705).png,farm
27,-5.395807071506837,-38.10507295720705,satelite,./extra/random/farm-simple(-5.395807071506837_-38.10507295720705).png,farm
28,27.70661093363909,-10.202436835195982,simple,./extra/random/nature-simple(27.706610933639098_-10.202436835195982).png,nature
29,27.70661093363909,-10.202436835195982,satelite,./extra/random/nature-simple(27.706610933639098_-10.202436835195982).png,nature
30,-41.63639294749571,-70.85026932151757,simple,./extra/random/nature-simple(-41.63639294749571_-70.85026932151757).png,nature
31,-41.63639294749571,-70.85026932151757,satelite,./extra/random/nature-simple(-41.63639294749571_-70.85026932151757).png,nature
32,16.74504732371487,74.59223237864174,simple,./extra/random/city-simple(16.74504732371487_74.59223237864174).png,city
33,16.74504732371487,74.59223237864174,satelite,./extra/random/city-simple(16.74504732371487_74.59223237864174).png,city
34,32.63045562160178,70.79421898670364,simple,./extra/random/farm-simple(32.63045562160178_70.79421898670364).png,farm
35,32.63045562160178,70.79421898670364,satelite,./extra/random/farm-simple(32.63045562160178_70.79421898670364).png,farm
36,24.2142960293954,87.36625413744997,simple,./extra/random/roads-simple(24.2142960293954_87.36625413744997).png,roads
37,24.2142960293954,87.36625413744997,satelite,./extra/random/roads-simple(24.2142960293954_87.36625413744997).png,roads
38,-21.28552599149829,-46.47263464328791,simple,./extra/random/farm-simple(-21.28552599149829_-46.47263464328791).png,farm
39,-21.28552599149829,-46.47263464328791,satelite,./extra/random/farm-simple(-21.28552599149829_-46.47263464328791).png,farm
40,-14.733128786032507,-64.62712278468129,simple,./extra/random/nature-simple(-14.733128786032509_-64.62712278468129).png,nature
41,-14.733128786032507,-64.62712278468129,satelite,./extra/random/nature-simple(-14.733128786032509_-64.62712278468129).png,nature
42,51.44025188050472,-55.649476243898135,simple,./extra/random/nature-simple(51.44025188050472_-55.649476243898135).png,nature
43,51.44025188050472,-55.649476243898135,satelite,./extra/random/nature-simple(51.44025188050472_-55.649476243898135).png,nature
44,2.7601545241781054,-51.18951265190695,simple,./extra/random/nature-simple(2.7601545241781054_-51.189512651906945).png,nature
45,2.7601545241781054,-51.18951265190695,satelite,./extra/random/nature-simple(2.7601545241781054_-51.189512651906945).png,nature
46,-6.849936453012518,-73.8951021920001,simple,./extra/random/nature-simple(-6.849936453012518_-73.8951021920001).png,nature
47,-6.849936453012518,-73.8951021920001,satelite,./extra/random/nature-simple(-6.849936453012518_-73.8951021920001).png,nature
48,41.90394574883382,-73.61757424151754,simple,./extra/random/farm-simple(41.90394574883382_-73.61757424151754).png,farm
49,41.90394574883382,-73.61757424151754,satelite,./extra/random/farm-simple(41.90394574883382_-73.61757424151754).png,farm
50,6.372335127590901,28.114123905233257,simple,./extra/random/nature-simple(6.372335127590901_28.114123905233257).png,nature
51,6.372335127590901,28.114123905233257,satelite,./extra/random/nature-simple(6.372335127590901_28.114123905233257).png,nature
52,44.64149954258471,-71.21755710241926,simple,./extra/random/roads-simple(44.64149954258471_-71.21755710241926).png,roads
53,44.64149954258471,-71.21755710241926,satelite,./extra/random/roads-simple(44.64149954258471_-71.21755710241926).png,roads
54,-23.024900644669955,47.37568088677014,simple,./extra/random/nature-simple(-23.024900644669955_47.37568088677014).png,nature
55,-23.024900644669955,47.37568088677014,satelite,./extra/random/nature-simple(-23.024900644669955_47.37568088677014).png,nature
